id,line,log_line
55370,6,1.791759469
55377,2,0.693147181
55385,223,5.407171771
55396,9,2.197224577
55399,9,2.197224577
55406,20,2.995732274
55411,273,5.609471795
55416,372,5.918893854
55419,2,0.693147181
55420,32,3.465735903
55444,59,4.077537444
55449,88,4.477336814
55457,8,2.079441542
55459,8,2.079441542
55464,8,2.079441542
55479,19,2.944438979
55488,147,4.990432587
55492,927,6.831953566
55493,160,5.075173815
55494,72,4.276666119
55495,151,5.017279837
55496,184,5.214935758
55497,28,3.33220451
55498,58,4.060443011
55499,255,5.541263545
55501,150,5.010635294
55503,955,6.86171134
55504,233,5.451038454
55505,19,2.944438979
55506,639,6.459904454
55509,131,4.875197323
55532,29,3.36729583
55536,57,4.043051268
55557,52,3.951243719
55574,76,4.33073334
55575,107,4.672828834
55581,82,4.406719247
55604,3,1.098612289
55605,138,4.927253685
55607,30,3.401197382
55621,288,5.66296048
55633,83,4.418840608
55643,9,2.197224577
55660,39,3.663561646
55674,926,6.830874235
55686,12,2.48490665
55690,3,1.098612289
55699,4,1.386294361
55700,240,5.480638923
55705,10,2.302585093
55710,119,4.779123493
55711,250,5.521460918
55730,193,5.262690189
55737,28,3.33220451
55740,4,1.386294361
55745,78,4.356708827
55746,40,3.688879454
55747,29,3.36729583
55748,149,5.003946306
55749,31,3.433987204
55750,52,3.951243719
55751,65,4.17438727
55752,4,1.386294361
55753,13,2.564949357
55757,65,4.17438727
55766,526,6.265301213
55787,21,3.044522438
55789,10,2.302585093
55790,192305,12.16683793
55792,106,4.663439094
55793,5,1.609437912
55797,31,3.433987204
55798,25,3.218875825
55805,65,4.17438727
55808,1552,7.347299701
55811,23,3.135494216
55814,28,3.33220451
55815,35,3.555348061
55817,27,3.295836866
55818,36,3.583518938
55822,2,0.693147181
55824,37,3.610917913
55830,17,2.833213344
55833,264,5.575949103
55836,56,4.025351691
55838,30,3.401197382
55840,22,3.091042453
55849,23,3.135494216
55855,4,1.386294361
55864,76,4.33073334
55866,113,4.727387819
55870,55,4.007333185
55873,26,3.258096538
55875,40,3.688879454
55878,175,5.164785974
55879,26,3.258096538
55880,28,3.33220451
55881,2,0.693147181
55885,17,2.833213344
55896,251,5.525452939
55903,11,2.397895273
55913,60,4.094344562
55917,77,4.343805422
55923,247,5.509388337
55925,3,1.098612289
55928,5,1.609437912
55929,2,0.693147181
55930,2,0.693147181
55932,4,1.386294361
55933,3,1.098612289
55934,15,2.708050201
55935,46,3.828641396
55939,31,3.433987204
55940,24,3.17805383
55942,3,1.098612289
55961,2,0.693147181
55962,10,2.302585093
55966,1,0
55975,17,2.833213344
55980,37,3.610917913
55987,220,5.393627546
55991,21,3.044522438
55997,2,0.693147181
55998,2,0.693147181
56015,2,0.693147181
56022,6,1.791759469
56041,15,2.708050201
56047,2,0.693147181
56049,22,3.091042453
56059,168,5.123963979
56069,120,4.787491743
56072,17,2.833213344
56075,72,4.276666119
56076,67,4.204692619
56077,108,4.682131227
56081,7,1.945910149
56083,10,2.302585093
56088,26,3.258096538
56091,37,3.610917913
56109,64,4.158883083
56112,24,3.17805383
56113,6,1.791759469
56114,77,4.343805422
56146,166,5.111987788
56148,32,3.465735903
56149,43,3.761200116
56160,79,4.369447852
56163,6,1.791759469
56164,21,3.044522438
56174,61,4.110873864
56184,89,4.48863637
56186,49,3.891820298
56188,362,5.891644212
56197,90,4.49980967
56198,59,4.077537444
56202,175,5.164785974
56218,8,2.079441542
56223,75,4.317488114
56224,96,4.564348191
56231,6,1.791759469
56244,59,4.077537444
56258,80,4.382026635
56263,106,4.663439094
56264,46,3.828641396
56265,37,3.610917913
56266,7,1.945910149
56271,24,3.17805383
56272,123,4.812184355
56278,8,2.079441542
56280,3,1.098612289
56285,58,4.060443011
56287,74,4.304065093
56288,45,3.80666249
56290,12,2.48490665
56292,54,3.988984047
56295,14,2.63905733
56300,81,4.394449155
56303,14,2.63905733
56307,23,3.135494216
56310,808,6.694562059
56313,55,4.007333185
56317,381,5.942799375
56320,427,6.056784013
56321,82,4.406719247
56327,136819,11.82641416
56334,32,3.465735903
56335,6,1.791759469
56347,15,2.708050201
56350,190,5.247024072
56355,86,4.454347296
